id,location,lanes,one_way
5483,BROADVIEW AVE AT MORTIMER AVE & POTTERY RD (PX 440),2
4349,COXWELL AVE AT MORTIMER AVE (PX 661),2
5560,LUMSDEN AVE AT MAIN ST (PX 656),2
5960,BROADVIEW AVE AT GERRARD ST E (PX 374),2
6002,GERRARD ST AT MAIN ST (PX 363),2
5138,COXWELL AVE AT EASTWOOD RD & GERRARD ST E (PX 368),2
4348,COXWELL AVE AT FAIRFORD AVE & GERRARD ST E (PX 367),2
4189,AVENUE RD AT BLOOR ST W & QUEENS PARK (PX 86),2
30684,LAVINIA AVE AT MORNINGSIDE AVE,2
6265,COLBECK ST AT JANE ST,2
28465,CASTLE VIEW AVE AT SPADINA RD,1
4895,BAY ST AT BLOOR ST W (PX 70),2
35962,AMSTERDAM AVE AT WESTVIEW BLVD,1
5028,BERNER TR & WICKSON TRL AT NEILSON RD (PX 1474),2
4999,BLACKWELL AVE AT TAPSCOTT RD (PX 1776),2
31339,SELWYN AVE AT WESTVIEW BLVD,1
41324,COOLHURST DR AT REDCLIFF BLVD,1
41322,PROVOST DR AT SINGER CRT,2
41323,MEADOWACRES DR AT PHARMACY AVE,1
41325,SHAUGHNESSY BLVD AT SILKWOOD CRES,1
5264,COLBORNE LODGE DR AT THE QUEENSWAY (PX 560),2
36235,ARLINGTON AVE AT VAUGHAN RD,1
41326,MAYFIELD AVE AT WINDERMERE AVE,1
4070,HUMBERSIDE AVE AT KEELE ST (PX 1729),2
35816,BEVERLEY ST AT D ARCY ST,1
41331,FORBES AVE AT ROGERS RD,2
4056,BLOOR ST E AT CHURCH ST (PX 25),2
5813,BLOOR ST E AT SHERBOURNE ST (PX 262),2
3934,LAKE SHORE BLVD W AT LONG BRANCH AVE (PX 240),2
41333,LUMBERVALE AVE AT ST HELENS AVE,1
6193,LAMBETH RD AT ROYAL YORK CT AND ROYAL YORK RD,2
4250,HOWARD ST AT SHERBOURNE ST (PX 1458),1
11761,CHAPMAN AVE AT DAWES RD,1
4672,DIXON RD AT MARTIN GROVE RD (PX 437),3
5044,CHARLES ST AT CHURCH ST (PX 225),1
5043,CHURCH ST AT ISABELLA ST (PX 572),1
5452,CHURCH ST AT WELLESLEY ST (PX 24),1
5451,CARLTON ST AT CHURCH ST (PX 23),1
4494,DUNDAS ST E AT PARLIAMENT ST (PX 248),2
28042,GEORGE HENRY BLVD AT SHAUGHNESSY BLVD,1
28048,HAVENBROOK BLVD AT SHAUGHNESSY BLVD,1
41339,MEADOWGLADE CRES AT SHAUGHNESSY BLVD,1
41340,PARFIELD DR AT SHAUGHNESSY BLVD,1
12267,BERNER TRAIL & MAMMOTH HALL TRAIL AT WASHBURN WAY,2
4759,LEE AVE AT QUEEN ST E (PX 549),2
4248,LOWER SHERBOURNE ST AT THE ESPLANADE (PX 1441),1
34270,HIGH PARK AVE AT HUMBERSIDE AVE,1
6059,ROGERS RD AT SILVERTHORN AVE (PX 801),1
38407,BELLAMY RD N AT BANMOOR BLVD & CEDAR BRAE BLVD,2
5009,HOSKIN AVE AT QUEENS PARK CRES W (PX 1482),3,1
5927,QUEENS PARK CR AT WELLESLEY ST (PX 84),4,1
5705,COLLEGE ST AT UNIVERSITY AVE (PX 83),4
5704,QUEEN ST W AT UNIVERSITY AVE (PX 80),4
4997,HARBORD ST AT HOSKIN AVE & ST GEORGE ST (PX 838),1
5410,BEVERLEY ST AT COLLEGE ST & ST GEORGE ST (PX 827),1
4611,BAY ST AT COLLEGE ST (PX 68),2
6089,BAY ST AT WELLESLEY ST (PX 69),2
6155,BAY ST AT QUEEN ST W (PX 64),2
5259,BEVERLEY ST AT QUEEN ST,2
3984,HUNTINGWOOD DR & OLD SHEPPARD AVE AT VICTORIA PARK AVE (PX 1),2
4834,HUNTINGWOOD DR AT PHARMACY AVE (PX 1052),2
4465,HUNTINGWOOD DR AT WARDEN AVE (PX 871),2
4480,BIRCHMOUNT RD AT HUNTINGWOOD DR (PX 987),2
4506,HUNTINGWOOD DR AT KENNEDY RD (PX 1111),2
5829,HUNTINGWOOD DR AT MIDLAND AVE (PX 1110),2
4930,BRIMLEY RD AT HUNTINGWOOD DR (PX 1170),2
4364,BIRCHMOUNT RD AT FINCH AVE E (PX 1138),2
4722,BIRCHMOUNT RD AT SHEPPARD AVE (PX 751),2
4929,BRIMLEY RD AT LAWRENCE AVE (PX 414),3
5334,BRIMLEY RD AT EGLINTON AVE E (PX 462),3
4928,BRIMLEY RD AT ST CLAIR AVE E (PX 497),2
41348,FAYWOOD BLVD AT WILSON AVE,2
4122,SHEPPARD AVE AT W R ALLEN RD (PX 1407),3
6120,SHEPPARD AVE AT WILSON HEIGHTS BLVD (PX 631),2
4988,BATHURST ST AT SHEPPARD AVE (PX 672),2
4371,FINCH AVE AT WILMINGTON AVE (PX 890),2
4513,BLOOR ST AT SHAW ST (PX 323),2
4058,BLOOR ST AT OSSINGTON AVE (PX 341),2
5816,BLOOR ST AT DOVERCOURT RD (PX 324),2
5666,BLOOR ST W AT DUFFERIN ST (PX 325),2
8157,BLOOR ST W AT BROCK AVE W (PX 1934),2
5817,BLOOR ST W AT LANSDOWNE AVE (PX 326),2
6170,BLOOR ST W AT SYMINGTON AVE (PX 1062),2
4032,BLOOR ST W AT DUNDAS ST W (PX 327),2
5315,BLOOR ST W AT KEELE ST & PARKSIDE DR (PX 328),2
5307,BLOOR ST W AT COLBORNE LODGE DR & HIGH PARK (PX 329),2
6047,BLOOR ST AT RUNNYMEDE RD (PX 331),2
5349,DUFFERIN ST AT DUNDAS ST (PX 190),2
5672,COLLEGE ST AT DUFFERIN ST (PX 605),2
5350,DUFFERIN ST AT DUPONT ST (PX 608),2
4903,DUNDAS ST AT KEELE ST (PX 188),2
4905,GLENLAKE AVE AT KEELE ST (PX 575),2
4518,ANNETTE ST AT KEELE ST (PX 576),2
6056,HOWARD PARK AVE AT PARKSIDE DR (PX 574),2
5993,ISLINGTON AVE AT POPLAR HEIGHTS DR & PRINCESS MARGARET  (PX 1315),2
3953,KINGSTON RD AT LAWRENCE AVE (PX 144),3
4595,KINGSTON RD AT MARKHAM RD (PX 148),3
5233,CRAIGTON DR & JONESVILLE CR AT VICTORIA PARK AVE (PX 202),2
4816,GERRARD ST AT VICTORIA PARK AVE (PX 361),2
4110,LAWRENCE AVE AT MCCOWAN RD (PX 380),3
5432,CURLEW DR AT LAWRENCE AVE E & RAILSIDE RD (PX 406),3
41356,MCCOWAN RD AT OAKRIDGE DR,2
36478,MEADOWVALE RD AT ROTARY DR,2
11998,MONARCH PARK AVE AT SAMMON AVE,2,1
5805,DUNDAS ST AT WOODFIELD RD (PX 284),1,1
4472,QUEEN ST AT WOODFIELD RD,2,1
5136,GERRARD ST AT WOODFIELD RD,2,1
4814,KINGSTON RD AT VICTORIA PARK AVE (PX 158),2
4216,LAWRENCE AVE AT SCARBOROUGH GOLF CLUB RD (PX 397),3
5427,BURNVIEW CRES AT LAWRENCE AVE (PX 398),3
5130,LAWRENCE AVE AT LESLIE ST (PX 400),2
4589,LAWRENCE AVE E AT RAILSIDE RD & UNDERHILL DR (PX 404),3
29713,BIRCHMOUNT RD AT HIGHVIEW AVE,2
4995,RUSSELL ST AT ST GEORGE ST,2,1
20281,ALTON AVE AT DUNDAS ST E,1,1
31861,CLAIRTON CRES S AT SCARLETT RD,2
12165,DAN LECKIE WAY AT LAKE SHORE BLVD (PX 2186),3
41358,AUSTIN TER AT SPADINA RD,1
41360,LAKE SHORE BLVD E 224 M WEST OF WOODBINE AVE (AT MIDBLOCK SI),2
41362,CATARAQUI CRES AT WARDEN AVE,2
26004,CEDARVALE AVE AT SAMMON AVE,1
39065,EASTERN AVE AT WOODFIELD RD,2,1
32384,SAMMON AVE AT WOODBINE AVE,1
6407,SAMMON AVE AT WOODYCREST AVE,1
3936,LAKE SHORE BLVD AT LEGION RD (PX 1994),2
4846,EASTERN AVE AT MCGEE ST,2
6459,BOOTH AVE AT EASTERN AVE,2
41363,BETA ST AT EVANS AVE,2
12015,AMSTERDAM AVE AT O CONNOR DR,2
38558,MERRILL AVE E AT WOODBINE AVE,1
11910,EGLINTON AVE AT HANNA RD,2
6233,KENNEDY RD AT SUMMER DR,2
41361,COLLEGE ST AT ROBERT ST,2,1
5732,BROADVIEW AVE AT EASTERN AVE DIVERSION (PX 817),2
41369,BRITANNIA AVE AT ST CLAIR AVE W,2
5428,LAWRENCE AVE AT MARLEE AVE (PX 425),2
4102,DANE AVE AT DUFFERIN ST,2
4196,AVENUE RD AT WILSON AVE (PX 123),2
4540,BRIMLEY RD AT FRASERTON CR & SHEDIAC RD (PX 2065),2
4541,BRIMLEY RD AT DEERFIELD RD (PX 1599),2
5656,BRIMLEY RD AT CHILLERY AVE (PX 1704),2
5655,BRIMLEY RD AT DANFORTH RD (PX 378),2
6848,ANSON AVE AT BRIMLEY RD & COMRIE TERR (PX 2169),2
4927,BRIMLEY RD AT KINGSTON RD (PX 164),2
