"id,location,num_lanes,is_oneway"
"4018,BAY MILLS BLVD AT BIRCHMOUNT RD & BONIS AVE (PX 1060)"
"4020,BIRCHMOUNT RD AT L AMOREAUX DR & SILVER SPRINGS BLVD (PX 1167)"
"4021,JANE ST AT ST JOHNS RD (PX 523)"
"4022,EAST DR AT JANE ST & OUTLOOK AVE (PX 526)"
"4023,BEVERLY HILLS DR AT JANE ST (PX 1409)"
"4024,JANE ST AT WILSON AVE (PX 532)"
"4025,GILTSPUR DR AT JANE ST (PX 1008)"
"4026,CLAIR RD AT JANE ST & SPENVALLEY DR (PX 1127)"
"4027,GRANDRAVINE DR AT JANE ST (PX 962)"
"4028,EDDYSTONE AVE AT JANE ST (PX 1172)"
"4029,FINCH AVE AT JANE ST (PX 534)"
"4030,JANE ST AT RITA DR & STANLEY RD (PX 1077)"
"4033,DUNDAS ST AT GLENLAKE AVE"
"4034,DUNDAS ST AT HUMBERSIDE AVE"
"4035,DENISON AVE AT DUNDAS ST (PX 542)"
"4036,DUNDAS ST AT HURON ST (PX 1273)"
"4037,CHESTNUT ST AT DUNDAS ST (PX 483)"
"4038,AUKLAND RD AT DUNDAS ST (PX 1350)"
"4039,DUNDAS ST AT ROYALAVON CR (PX 1306)"
"4040,DUNDAS ST AT MABELLE AVE (PX 1847)"
"4041,KNOB HILL DR AT OAK ST (PX 1595)"
"4042,EGLINTON AVE AT KENNEDY RD (PX 460)"
"4043,BERTRAND AVE AT KENNEDY RD (PX 1057)"
"4044,KENNEDY RD AT LAWRENCE AVE (PX 412)"
"4045,KENNEDY RD AT WICKWARE GT & MARIGOLD PLAZA (PX 959)"
"4046,BRIGSTOCK RD AT KENNEDY RD"
"4047,ELLESMERE RD AT KENNEDY RD (PX 696)"
"4048,GLAMORGAN AVE AT KENNEDY RD & PROGRESS AVE (PX 692)"
"4049,KENNEDY RD AT MTO DRIVEWAY & VILLAGE GREEN SQ (PX 1592)"
"4050,KENNEDY RD AT SHEPPARD AVE (PX 752)"
"4051,KENNEDY RD AT PERTHSHIRE ST"
"4052,KENNEDY RD AT STEELES AVE (PX 1192)"
"4053,RUNNYMEDE RD AT ST JOHNS RD (PX 848)"
"4054,BOWMORE RD AT GERRARD ST (PX 366)"
"4055,MURRAY ROSS PKWY AT SENTINEL RD (PX 1615)"
