location_id,location,lng,lat,centreline_type,centreline_id,px,latest_count_id,latest_count_date
3981,ELLESMERE RD AT PARKWOODS VILLAGE DR & VICTORIA PARK AVE (PX 517),-79.3152,43.75787,2,13449013,517,33557,4/4/2016
3982,ESQUIRE RD AT LANSING SQ & VICTORIA PARK AVE,-79.3222,43.7735,2,13446777,,6932,1/6/1998
3983,SHEPPARD AVE AT VICTORIA PARK AVE (PX 748),-79.323,43.77524,2,13446551,748,39441,########
3984,HUNTINGWOOD DR & OLD SHEPPARD AVE AT VICTORIA PARK AVE (PX 1,-79.3254,43.78035,2,13445899,1085,40397,########
3985,MILLWICK DR AT PLUNKETT RD (PX 1632),-79.5701,43.76043,2,13449142,1632,28385,########
3986,HARBOUR SQ AT QUEENS QUAY,,,,,,6936,########
3987,LANE N OF LAKE SHORE BLVD AT MORSE ST,-79.3387,43.65444,2,13465928,,6937,########
3988,# 701- 703 DON MILLS RD AT DON MILLS RD & S OF OVERLEA BLVD,-79.3341,43.7093,1,446012,,28867,########
3989,EGLINTON AVE AT LEBOVIC AVE (PX 1791),-79.2915,43.727,2,14074105,1791,25551,4/1/2010
3990,PHARMACY AVE AT ROSSCOWAN GT / FAIRGLEN SCHOOL (PX 1753),-79.3218,43.78544,2,13445277,1753,36643,2/6/2018
3991,BRITISH COLUMBIA RD AT SASKATCHEWAN RD & DUFFERIN ST (PX 2134),-79.4249,43.63269,2,13469026,2134,33569,########
3992,NIAGARA ST AT QUEEN ST (PX 553),-79.4099,43.646,2,13467464,553,37519,########
3993,BURN HILL RD AT MACK AVE & WARDEN AVE,-79.2758,43.69954,2,13457981,,32327,5/6/2015
3994,CENTENNIAL COLLEGE N OF ASHTONBEE ON WARDEN AVE,-79.2893,43.73189,1,30014930,,6944,########
3995,ST CLAIR AVE AT WARDEN AVE (PX 473),-79.281,43.71204,2,13455952,473,35795,########
3996,EGLINTON AVE AT WARDEN AVE (PX 456),-79.2876,43.72785,2,13453588,456,32325,5/6/2015
3997,# 800 WARDEN AVE AT WARDEN AVE 1553M S OF CIVIC RD (PX 1638),-79.2865,43.7251,1,111712,1638,28141,########
3998,ELLESMERE RD AT WARDEN AVE (PX 694),-79.3008,43.76119,2,13448519,694,33573,4/5/2016
3999,STEELES AVE AT WARDEN AVE (PX 1191),-79.3244,43.81963,2,13442003,1191,30433,########
4000,EASTERN AVE AT TRINITY ST (PX 2239),-79.3607,43.65249,2,13466279,2239,41393,########
4001,DIBBLE ST AT EASTERN AVE,-79.3453,43.65699,2,13465510,,6951,########
4002,EASTERN AVE AT PAPE AVE,-79.3366,43.65893,2,13465194,,16605,########
4003,CAROLINE AVE AT EASTERN AVE & LARCHMOUNT AVE,-79.3342,43.65945,2,13465097,,6953,########
4004,KING ST AT SUDBURY ST (PX 1851),-79.4172,43.64099,2,13468120,1851,37503,########
4005,ADELAIDE ST AT CHURCH ST (PX 17),-79.3749,43.65119,2,13466516,17,38705,4/9/2019
4006,ADELAIDE ST AT PORTLAND ST (PX 1488),-79.4006,43.64573,2,13467481,1488,38679,4/9/2019
4007,ADELAIDE ST AT BRANT ST (PX 1807),-79.3982,43.64623,2,13467393,1807,38681,4/9/2019
4008,ADELAIDE ST AT SIMCOE ST (PX 198),-79.3866,43.64864,2,13466978,198,38689,4/9/2019
4009,RICHMOND ST AT SHERBOURNE ST (PX 256),-79.3691,43.65338,2,13466150,256,34393,########
4010,PARLIAMENT ST AT RICHMOND ST (PX 223),-79.364,43.65456,2,13465959,223,41383,########
4011,DUNCAN ST AT RICHMOND ST (PX 267),-79.3892,43.64946,2,13466829,267,28961,########
4012,RICHMOND ST AT YORK ST (PX 74),-79.3847,43.65044,2,13466666,74,35561,########
4013,QUEEN ST AT SUMACH ST (PX 1865),-79.3589,43.65683,2,13465571,1865,38167,########
4014,NEVILLE PARK BLVD AT QUEEN ST,-79.2824,43.67372,2,13462615,,17861,########
4015,LOMA RD AT THE QUEENSWAY,-79.5089,43.62497,2,13469592,,39551,########
4016,ELLIS AVE AT THE QUEENSWAY (PX 561),-79.4665,43.63777,2,13468559,561,34343,########
4017,GLENDALE AVE AT THE QUEENSWAY (PX 1879),-79.4513,43.63934,2,13468370,1879,31855,3/4/2015
4018,BAY MILLS BLVD AT BIRCHMOUNT RD & BONIS AVE (PX 1060),-79.2993,43.78359,2,13445461,1060,39453,########
4020,BIRCHMOUNT RD AT L AMOREAUX DR & SILVER SPRINGS BLVD (PX 1167),-79.3071,43.80065,2,13443374,1167,35421,########
4021,JANE ST AT ST JOHNS RD (PX 523),-79.4897,43.66199,2,13465039,523,37035,4/3/2018
4022,EAST DR AT JANE ST & OUTLOOK AVE (PX 526),-79.4969,43.67894,2,13462239,526,37039,4/3/2018
4023,BEVERLY HILLS DR AT JANE ST (PX 1409),-79.5082,43.71908,2,13455332,1409,37063,4/4/2018
4024,JANE ST AT WILSON AVE (PX 532),-79.5086,43.72092,2,13455040,532,34037,########
4025,GILTSPUR DR AT JANE ST (PX 1008),-79.5119,43.73457,2,13453033,1008,37067,4/4/2018
4026,CLAIR RD AT JANE ST & SPENVALLEY DR (PX 1127),-79.5137,43.74124,2,13451997,1127,37073,4/4/2018
4027,GRANDRAVINE DR AT JANE ST (PX 962),-79.5151,43.74709,2,13451058,962,30577,########
4028,EDDYSTONE AVE AT JANE ST (PX 1172),-79.5157,43.74915,2,13450723,1172,31697,########
4029,FINCH AVE AT JANE ST (PX 534),-79.5177,43.75723,2,13449500,534,37259,########
4030,JANE ST AT RITA DR & STANLEY RD (PX 1077),-79.5141,43.74312,2,13451700,1077,31721,########
4031,DUNDAS ST AT MUNRO ST (PX 1117),-79.3531,43.66208,2,13464720,1117,40705,7/8/2020
4032,BLOOR ST W AT DUNDAS ST W (PX 327),-79.4525,43.65632,2,13465876,327,41123,########
4033,DUNDAS ST AT GLENLAKE AVE,-79.4537,43.65994,2,13465288,,34093,4/5/2016
4034,DUNDAS ST AT HUMBERSIDE AVE,-79.4564,43.66305,2,13464808,,35743,4/5/2017
4035,DENISON AVE AT DUNDAS ST (PX 542),-79.4023,43.65203,2,13466443,542,24361,########
4036,DUNDAS ST AT HURON ST (PX 1273),-79.3962,43.65335,2,13466217,1273,29709,########
4037,CHESTNUT ST AT DUNDAS ST (PX 483),-79.3861,43.65524,2,13465901,483,32231,########
4038,AUKLAND RD AT DUNDAS ST (PX 1350),-79.538,43.63852,2,13468572,1350,32501,########
4039,DUNDAS ST AT ROYALAVON CR (PX 1306),-79.532,43.64521,2,13467775,1306,33765,########
4040,DUNDAS ST AT MABELLE AVE (PX 1847),-79.5306,43.64677,2,13467586,1847,33767,########
4041,KNOB HILL DR AT OAK ST (PX 1595),-79.532,43.7081,2,13457136,1595,28015,########
4042,EGLINTON AVE AT KENNEDY RD (PX 460),-79.2679,43.7322,2,13452869,460,29917,########
4043,BERTRAND AVE AT KENNEDY RD (PX 1057),-79.2701,43.73745,2,13452055,1057,32697,########
4044,KENNEDY RD AT LAWRENCE AVE (PX 412),-79.2749,43.7495,2,13450163,412,38487,3/5/2019
4045,KENNEDY RD AT WICKWARE GT & MARIGOLD PLAZA (PX 959),-79.2763,43.75323,2,13449592,959,32711,8/5/2015
4046,BRIGSTOCK RD AT KENNEDY RD,-79.2795,43.7613,2,13448474,,37819,########
4047,ELLESMERE RD AT KENNEDY RD (PX 696),-79.2811,43.7658,2,13447843,696,33561,4/4/2016
4048,GLAMORGAN AVE AT KENNEDY RD & PROGRESS AVE (PX 692),-79.2823,43.76942,2,13447299,692,38481,3/5/2019
4049,KENNEDY RD AT MTO DRIVEWAY & VILLAGE GREEN SQ (PX 1592),-79.2856,43.77725,2,13446213,1592,38149,########
4050,KENNEDY RD AT SHEPPARD AVE (PX 752),-79.2883,43.78329,2,13445476,752,38465,3/5/2019
4051,KENNEDY RD AT PERTHSHIRE ST,-79.3005,43.80891,2,13442616,,33119,3/8/2016
4052,KENNEDY RD AT STEELES AVE (PX 1192),-79.3071,43.82369,2,13441814,1192,38461,3/5/2019
